reward,step_time,total_stopped,total_wait_time
125.0,3740.0,1,294.0
8.0,3745.0,7,313.0
-19.0,3750.0,7,293.0
20.0,3755.0,6,183.0
110.0,3760.0,2,165.0
18.0,3765.0,7,191.0
-26.0,3770.0,13,242.0
-51.0,3775.0,13,239.0
3.0,3780.0,12,152.0
87.0,3785.0,9,192.0
-40.0,3790.0,12,249.0
-57.0,3795.0,9,253.0
-4.0,3800.0,5,205.0
48.0,3805.0,5,210.0
-5.0,3810.0,9,245.0
-35.0,3815.0,15,305.0
-60.0,3820.0,21,396.0
-91.0,3825.0,22,441.0
-45.0,3830.0,18,421.0
20.0,3835.0,16,486.0
-65.0,3840.0,13,555.0
-69.0,3845.0,15,619.0
-64.0,3850.0,22,715.0
-96.0,3855.0,29,847.0
-132.0,3860.0,34,1005.0
-158.0,3865.0,32,1068.0
-63.0,3870.0,24,993.0
75.0,3875.0,17,811.0
182.0,3880.0,7,847.0
-36.0,3885.0,8,879.0
-32.0,3890.0,8,821.0
58.0,3895.0,5,666.0
155.0,3900.0,4,431.0
235.0,3905.0,3,443.0
-12.0,3910.0,8,471.0
-28.0,3915.0,14,531.0
-60.0,3920.0,15,503.0
28.0,3925.0,13,371.0
132.0,3930.0,13,251.0
120.0,3935.0,7,244.0
7.0,3940.0,7,253.0
-9.0,3945.0,7,218.0
35.0,3950.0,5,186.0
32.0,3955.0,4,198.0
-12.0,3960.0,8,230.0
-32.0,3965.0,11,230.0
0.0,3970.0,6,188.0
42.0,3975.0,6,124.0
64.0,3980.0,4,127.0
-3.0,3985.0,8,159.0
-32.0,3990.0,9,165.0
-6.0,3995.0,5,122.0
43.0,4000.0,2,67.0
55.0,4005.0,1,72.0
-5.0,4010.0,7,94.0
-22.0,4015.0,13,145.0
-51.0,4020.0,14,176.0
-31.0,4025.0,11,169.0
7.0,4030.0,9,211.0
-42.0,4035.0,9,262.0
-51.0,4040.0,16,329.0
-67.0,4045.0,23,431.0
-102.0,4050.0,30,566.0
-135.0,4055.0,30,646.0
-80.0,4060.0,24,605.0
41.0,4065.0,15,690.0
-85.0,4070.0,12,754.0
-64.0,4075.0,9,724.0
30.0,4080.0,6,584.0
140.0,4085.0,4,457.0
127.0,4090.0,4,336.0
121.0,4095.0,0,282.0
54.0,4100.0,6,280.0
2.0,4105.0,12,330.0
-50.0,4110.0,13,325.0
5.0,4115.0,9,247.0
78.0,4120.0,5,114.0
133.0,4125.0,2,126.0
-12.0,4130.0,7,153.0
-27.0,4135.0,9,149.0
4.0,4140.0,7,127.0
