,buffer_size,step_time,total_stopped,total_wait_time
795,1389,4280.0,110,10297.0
796,1389,4285.0,106,9815.0
797,1389,4290.0,104,9210.0
798,1389,4295.0,84,9092.0
799,1389,4300.0,90,8831.0
800,1389,4305.0,84,8690.0
801,1389,4310.0,88,8746.0
802,1392,4315.0,113,8789.0
803,1392,4320.0,126,8673.0
804,1395,4325.0,118,8647.0
805,1397,4330.0,89,8740.0
806,1400,4335.0,76,8721.0
807,1402,4340.0,76,8620.0
808,1403,4345.0,69,8234.0
809,1403,4350.0,72,7644.0
810,1404,4355.0,70,7497.0
811,1405,4360.0,82,7258.0
812,1407,4365.0,70,6989.0
813,1407,4370.0,89,6910.0
814,1408,4375.0,118,7114.0
815,1408,4380.0,116,7241.0
816,1412,4385.0,111,7650.0
817,1413,4390.0,99,7954.0
818,1416,4395.0,76,7764.0
819,1418,4400.0,67,7443.0
820,1421,4405.0,105,7232.0
821,1421,4410.0,113,7335.0
822,1421,4415.0,87,7289.0
823,1421,4420.0,77,6857.0
824,1421,4425.0,68,6133.0
825,1421,4430.0,61,5753.0
826,1421,4435.0,51,5054.0
827,1421,4440.0,64,5125.0
828,1421,4445.0,55,5242.0
829,1421,4450.0,56,5048.0
830,1421,4455.0,60,4479.0
831,1421,4460.0,60,4475.0
832,1421,4465.0,40,4359.0
833,1421,4470.0,51,4100.0
834,1421,4475.0,60,3925.0
835,1421,4480.0,58,3980.0
836,1421,4485.0,59,3772.0
837,1421,4490.0,49,3547.0
838,1421,4495.0,58,3367.0
839,1421,4500.0,48,3069.0
840,1421,4505.0,58,3160.0
841,1421,4510.0,60,3065.0
842,1421,4515.0,60,3003.0
843,1421,4520.0,78,3134.0
844,1421,4525.0,71,3299.0
845,1421,4530.0,80,3419.0
846,1421,4535.0,84,3527.0
847,1421,4540.0,86,3770.0
848,1421,4545.0,75,3916.0
849,1421,4550.0,64,4043.0
850,1421,4555.0,74,3989.0
851,1421,4560.0,98,4157.0
